"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,participant,,text,"Participant ID",,,,,,,,,,,,,
study,participant,,text,"Study #",,,integer,1,,,,,,,,,
wave,participant,,text,"Wave #",,,integer,1,,,,,,,,,
introduction_welcome,introduction,,descriptive,,,,,,,,,,,,,,
introduction_continue,introduction,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Please click SUBMIT to begin the survey.</p></div>",,,,,,,,,,,,,
introduction_no_reverse,introduction,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">PLEASE NOTE: In this survey, you cannot go back to change your answers. Please ensure you have completed each page, and are ready to submit before moving on to the next.</p></div>",,,,,,,,,,,,,
footer,introduction,,descriptive,,,,,,,,,,,,,,
panas_1_1,panas_1,"Indicate how you feel right now.",radio,Interested,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_2,panas_1,,radio,Distressed,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_3,panas_1,,radio,Excited,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_4,panas_1,,radio,Upset,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_5,panas_1,,radio,Strong,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_6,panas_1,,radio,Guilty,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_7,panas_1,,radio,Scared,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_8,panas_1,,radio,Hostile,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_9,panas_1,,radio,Enthusiastic,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_10,panas_1,,radio,Proud,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_11,panas_1,,radio,Irritable,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_12,panas_1,,radio,Alert,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_13,panas_1,,radio,Ashamed,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_14,panas_1,,radio,Inspired,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_15,panas_1,,radio,Nervous,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_16,panas_1,,radio,Determined,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_17,panas_1,,radio,Attentive,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_18,panas_1,,radio,Jittery,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_19,panas_1,,radio,Active,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
panas_1_20,panas_1,,radio,Afraid,"1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,,,,panas_matrix_1,,
participant_age,information,,text,Age,,,,,,,,,,,,,
participant_sex,information,,radio,Sex,"1, Male | 2, Female | 3, Other",,,,,,,,,,,,
participant_sex_other,information,,text,"Other (please describe)",,,,,,,"[participant_sex] = '3'",,,,,,
participant_gender,information,,radio,Gender,"1, Male | 2, Female | 3, Other",,,,,,,,,,,,
participant_gender_other,information,,text,"Other (please describe)",,,,,,,"[participant_gender] = '3'",,,,,,
participant_student,information,,yesno,"Are you currently a student?",,,,,,,,,,,,,
participant_student_ucla,information,,yesno,"Are you currently a student at UCLA?",,,,,,,"[participant_student] = '1'",,,,,,
participant_student_ucla_return,information,,yesno,"Will you be returning to UCLA next academic year?",,,,,,,"[participant_student_ucla] = '1'",,,,,,
participant_student_status,information,,radio,"Student status","1, Full-time | 2, Part-time | 3, Other",,,,,,"[participant_student] = '1'",,,,,,
participant_student_status_other,information,,text,"Other (please describe)",,,,,,,"[participant_student_status] = '3'",,,,,,
participant_student_year,information,,radio,"Year of education","1, 1st year undergraduate | 2, 2nd year undergraduate | 3, 3rd year undergraduate | 4, 4th year undergraduate | 5, 1st year graduate | 6, 2nd year graduate | 7, 3rd year graduate | 8, 4th year graduate | 9, 5th year graduate or higher | 10, Other",,,,,,"[participant_student] = '1'",,,,,,
participant_student_year_other,information,,text,"Other (please describe)",,,,,,,"[participant_student_year] = '10'",,,,,,
participant_health_conditions,information,,yesno,"Do you have any underlying health conditions?",,,,,,,,,,,,,
participant_health_conditions_description,information,,notes,"Health conditions (please describe)",,,,,,,"[participant_health_conditions] = '1'",,,,,,
participant_location_city,information,"Current location",text,City,,,,,,,,,,,,,
participant_location_state,information,,text,"State (if applicable)",,,,,,,,,,,,,
participant_location_country,information,,text,Country,,,,,,,,,,,,,
participant_origin_city,information,"Origin location

Where primarily did you grow up?",text,City,,,,,,,,,,,,,
participant_origin_state,information,,text,"State (if applicable)",,,,,,,,,,,,,
participant_origin_country,information,,text,Country,,,,,,,,,,,,,
recontact_permission,information," ",yesno,"Can we recontact you for participation in future research?",,,,,,,,,,,,,
somna_instructions,somna,,descriptive,"For this survey I want you to imagine yourself in different emotional situations. 

Please try to think back to a time when you felt this way and really imagine it.

I'm going to ask you about scary things, about things that make you anxious, and about sad things. ",,,,,,,,,,,,,
somna_scared_1_frequency,somna,"For this section, think of a time you were really scared or of something that typically makes you really scared. 

For example, when you watched a scary movie, rode a rollercoaster, spiders, heights etc. Pick something that is particularly scary to you.

When you're feeling scared how often do you? ",radio," Begin breathing heavily","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_1_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_1_frequency] != '0'",,,,,,
somna_scared_2_frequency,somna,,radio,"Have a bowel movement more than usual","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_2_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_2_frequency] != '0'",,,,,,
somna_scared_3_frequency,somna,,radio," Get goosebumps","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_3_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_3_frequency] != '0'",,,,,,
somna_scared_4_frequency,somna,,radio,"Feel like your mouth is really dry","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_4_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_4_frequency] != '0'",,,,,,
somna_scared_5_frequency,somna,,radio,"Feel stiff","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_5_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_5_frequency] != '0'",,,,,,
somna_scared_6_frequency,somna,,radio,"Eat more than usual","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_6_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_6_frequency] != '0'",,,,,,
somna_scared_7_frequency,somna,,radio,"Get shaky or tremble","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_7_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_7_frequency] != '0'",,,,,,
somna_scared_8_frequency,somna,,radio,"Not feel like eating anything","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_8_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_8_frequency] != '0'",,,,,,
somna_scared_9_frequency,somna,,radio,"Feel like your skin is burning","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_9_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_9_frequency] != '0'",,,,,,
somna_scared_10_frequency,somna,,radio,"Feel sick to your stomach","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
